Comment,Designator,Footprint,LCSC
1k,"R1,R2",R_0402_1005Metric,C11702
10u,C3,C_0402_1005Metric,C15525
22p,"C1,C13",C_0402_1005Metric,C1555
RP2040,U3,RP2040-QFN-56,C2040
USB DTB,J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,C240847
27R,"R4,R5",R_0402_1005Metric,C25100
10k,R3,R_0402_1005Metric,C25744
500mA,F1,Fuse_0805_2012Metric,C269104
ZD25Q80BNIGR,U1,USON-8_1.5x1.5mm_P0.45mm,C3035284
100n,"C10,C11,C12,C16,C19,C2,C20,C21,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331
SK6812MINI-E,"LED1,LED2,LED3",LED_6028R,C524051
1u,"C14,C15,C17,C18",C_0402_1005Metric,C52923
XC6206P332MR,RG1,XC6206P332MR,C5446
BOOT,SW1,SW_SPST_Little_Turtle_2P,C720477
74LVC1G17,U2,SOT-23-5,C7484
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D8,D9",D_SOD-123,C81598
SRV05-4,ESD1,SOT-23-6,C85364
12Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
